ภาค,จังหวัด,ประชากรรวม (Total Population),ประชากรชาย (Male population),ประชากรหญิง (Female population),อัตราส่วนเพศ (Sex ratio),ความหนาแน่นต่อ ตร.กม. (Density per sq.km.),Region,Province
ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,66052615,32224008,33828607,95.3,128.7,Whole Kingdom,Whole Kingdom
กรุงเทพมหานครและปริมณฑล,กรุงเทพมหานครและปริมณฑล,10888403,5117348,5771055,88.7,1402.8,Bangkok and Vicinities,Bangkok and Vicinities
กรุงเทพมหานครและปริมณฑล,กรุงเทพมหานคร,5471588,2555426,2916162,87.6,3487.9,Bangkok and Vicinities,Bangkok 
กรุงเทพมหานครและปริมณฑล,สมุทรปราการ,1372970,651455,721515,90.3,1367.4,Bangkok and Vicinities,Samut Prakan
กรุงเทพมหานครและปริมณฑล,นนทบุรี,1308092,606134,701958,86.3,2102,Bangkok and Vicinities,Nonthaburi
กรุงเทพมหานครและปริมณฑล,ปทุมธานี,1219199,576746,642453,89.8,799,Bangkok and Vicinities,Pathum Thani
กรุงเทพมหานครและปริมณฑล,นครปฐม,924521,443250,481271,92.1,426.4,Bangkok and Vicinities,Nakhon Pathom
กรุงเทพมหานครและปริมณฑล,สมุทรสาคร,592033,284337,307696,92.4,678.7,Bangkok and Vicinities,Samut Sakhon
ภาคกลาง,ภาคกลาง,2979014,1446711,1532303,94.4,179.5,Central Region,Central Region
ภาคกลาง,พระนครศรีอยุธยา,822106,394255,427851,92.1,321.6,Central Region,Phra Nakhon Si Ayutthaya
ภาคกลาง,อ่างทอง,270726,129432,141294,91.6,279.6,Central Region,Ang Thong
ภาคกลาง,ลพบุรี,729697,362500,367197,98.7,117.7,Central Region,Lop Buri
ภาคกลาง,สิงห์บุรี,201439,95652,105787,90.4,244.9,Central Region,Sing Buri
ภาคกลาง,ชัยนาท,316220,151775,164445,92.3,128,Central Region,Chai Nat
ภาคกลาง,สระบุรี,638826,313097,325729,96.1,178.6,Central Region,Saraburi
ภาคตะวันออก,ภาคตะวันออก,5205868,2553615,2652253,96.3,142.6,Eastern Region,Eastern Region
ภาคตะวันออก,ชลบุรี,1618066,787986,830080,94.9,370.9,Eastern Region,Chon Buri
ภาคตะวันออก,ระยอง,771189,378051,393138,96.2,217.1,Eastern Region,Rayong
ภาคตะวันออก,จันทบุรี,536436,261834,274602,95.4,84.6,Eastern Region,Chanthaburi
ภาคตะวันออก,ตราด,227052,112157,114895,97.6,80.5,Eastern Region,Trat
ภาคตะวันออก,ฉะเชิงเทรา,730543,357453,373090,95.8,136.5,Eastern Region,Chachoengsao
